theta_1_t,d_theta_1_t,q_1_t,theta_2_t,d_theta_2_t,q_2_t
-0.000988333,0,-3.63884e-05,-1.74212,-1.25891,1.75698
-0.000988333,0,-3.63884e-05,-1.74546,-1.22111,1.76069
-0.000988333,0,-3.63884e-05,-1.74956,-1.29089,1.76437
-0.000988333,0,-2.44042e-05,-1.75389,-1.28507,1.76806
-0.000988333,0,-3.63884e-05,-1.75761,-1.25891,1.77169
-0.000988333,0,-4.83727e-05,-1.76075,-1.17169,1.77537
-0.000988333,0,-2.44042e-05,-1.76465,-1.08446,1.77903
-0.000988333,0,-2.44042e-05,-1.76799,-1.10191,1.7828
-0.000988333,0,-3.63884e-05,-1.77128,-1.10772,1.78656
-0.000988333,0,-2.44042e-05,-1.77462,-1.13389,1.79042
-0.000988333,0,-3.63884e-05,-1.77817,-1.22111,1.79418
-0.000988333,0,-3.63884e-05,-1.78134,-1.25309,1.79797
-0.000988333,0,-3.63884e-05,-1.78541,-1.20367,1.80172
-0.000988333,0,-3.63884e-05,-1.7889,-1.20367,1.80545
-0.000988333,0,-2.44042e-05,-1.79233,-1.18041,1.80922
-0.000988333,0,-3.63884e-05,-1.79649,-1.19494,1.81307
-0.000988333,0,-3.63884e-05,-1.79977,-1.27635,1.81681
-0.000988333,0,-3.63884e-05,-1.80358,-1.32287,1.82054
-0.000988333,0,-3.63884e-05,-1.80783,-1.38102,1.82427
-0.000988333,0,-3.63884e-05,-1.81192,-1.33159,1.82803
-0.000988333,0,-3.63884e-05,-1.81594,-1.27635,1.83187
-0.000988333,0,-4.83727e-05,-1.81977,-1.27635,1.83572
-0.000988333,0,-3.63884e-05,-1.82329,-1.27635,1.83957
-0.000988333,0,-3.63884e-05,-1.82821,-1.30833,1.84468
-0.000988333,0,-3.63884e-05,-1.83228,-1.29089,1.8486
-0.000988333,0,-3.63884e-05,-1.83664,-1.25309,1.85247
-0.000988333,0,-3.63884e-05,-1.84024,-1.18041,1.8564
-0.000988333,0,-2.44042e-05,-1.84367,-1.16587,1.86037
-0.000988333,0,-2.44042e-05,-1.84748,-1.18913,1.86427
-0.000988333,0,-3.63884e-05,-1.85088,-1.22693,1.86805
-0.000988333,0,-3.63884e-05,-1.85437,-1.33159,1.87188
-0.000988333,0,-3.63884e-05,-1.85815,-1.33159,1.87559
-0.000988333,0,-2.44042e-05,-1.86286,-1.32287,1.87935
-0.000988333,0,-3.63884e-05,-1.86621,-1.30833,1.88317
-0.000988333,0,-3.63884e-05,-1.87001,-1.29089,1.88695
-0.000988333,0,-3.63884e-05,-1.87467,-1.36357,1.89076
-0.000988333,0,-3.63884e-05,-1.87874,-1.413,1.89457
-0.000988333,0,-3.63884e-05,-1.88231,-1.46824,1.89844
-0.000988333,0,-3.63884e-05,-1.88702,-1.45952,1.90232
-0.000988333,0,-3.63884e-05,-1.89144,-1.33159,1.90617
-0.000988333,0,-3.63884e-05,-1.8958,-1.24437,1.91012
-0.000988333,0,-3.63884e-05,-1.8997,-1.19494,1.91547
-0.000988333,0,-3.63884e-05,-1.90514,-1.29961,1.92093
-0.000988333,0,-3.63884e-05,-1.9095,-1.38102,1.92497
-0.000988333,0,-2.44042e-05,-1.91328,-1.36357,1.92903
-0.000988333,0,-3.63884e-05,-1.91828,-1.27635,1.93307
-0.000988333,0,-3.63884e-05,-1.9213,-1.20367,1.93709
-0.000988333,0,-3.63884e-05,-1.92552,-1.21239,1.94125
-0.000988333,0,-3.63884e-05,-1.92869,-1.27635,1.9454
